,time,prediction,pvPower,date,area,familyID,state,totalaccurgenamount
147,2022-01-14 11:00:00,75809.69688574118,64514.0,2022-01-14 11:00:00,sc_jong,6-1,N,12906757.0
148,2022-01-14 12:00:00,37973.87525172984,73700.0,2022-01-14 12:00:00,sc_jong,6-1,N,12908764.0
149,2022-01-14 13:00:00,22698.15073288438,78377.0,2022-01-14 13:00:00,sc_jong,6-1,N,12910652.0
150,2022-01-14 14:00:00,-12645.791354330077,34050.0,2022-01-14 14:00:00,sc_jong,6-1,N,12911633.0
151,2022-01-14 15:00:00,20060.466241838654,4426.0,2022-01-14 15:00:00,sc_jong,6-1,N,12911756.0
152,2022-01-14 16:00:00,20572.266991615877,3366.0,2022-01-14 16:00:00,sc_jong,6-1,N,12911836.0
153,2022-01-14 17:00:00,-888.5284827544906,450.0,2022-01-14 17:00:00,sc_jong,6-1,N,12911857.0
154,2022-01-15 07:00:00,991.8848387962772,233.0,2022-01-15 07:00:00,sc_jong,6-1,N,12911866.0
155,2022-01-15 08:00:00,7294.4312643123185,6936.000000000001,2022-01-15 08:00:00,sc_jong,6-1,N,12912080.0
156,2022-01-15 09:00:00,20658.55401058895,14326.0,2022-01-15 09:00:00,sc_jong,6-1,N,12912516.0
157,2022-01-15 10:00:00,38158.848313264905,38232.0,2022-01-15 10:00:00,sc_jong,6-1,N,12913601.0
158,2022-01-15 11:00:00,52577.37412184723,33419.0,2022-01-15 11:00:00,sc_jong,6-1,N,12914782.0
159,2022-01-15 12:00:00,64259.43637474067,21892.0,2022-01-15 12:00:00,sc_jong,6-1,N,12915416.0
160,2022-01-15 13:00:00,52263.50186625023,22087.0,2022-01-15 13:00:00,sc_jong,6-1,N,12916010.0
161,2022-01-15 14:00:00,43964.83454452255,31695.0,2022-01-15 14:00:00,sc_jong,6-1,N,12916640.0
162,2022-01-15 15:00:00,7080.453442677243,13649.000000000002,2022-01-15 15:00:00,sc_jong,6-1,N,12916892.0
163,2022-01-15 16:00:00,-1164.6055791822364,4025.0,2022-01-15 16:00:00,sc_jong,6-1,N,12916982.0
164,2022-01-15 17:00:00,1519.5272085430995,822.0,2022-01-15 17:00:00,sc_jong,6-1,N,12917009.0
165,2022-01-16 07:00:00,436.38572582470977,224.0,2022-01-16 07:00:00,sc_jong,6-1,N,12917018.0
166,2022-01-16 08:00:00,6152.319535823195,9065.0,2022-01-16 08:00:00,sc_jong,6-1,N,12917245.0
167,2022-01-16 09:00:00,16236.276056823335,20906.0,2022-01-16 09:00:00,sc_jong,6-1,N,12917900.0
168,2022-01-16 10:00:00,36781.73576642372,34281.0,2022-01-16 10:00:00,sc_jong,6-1,N,12919069.0
169,2022-01-16 11:00:00,69995.31422697642,73916.0,2022-01-16 11:00:00,sc_jong,6-1,N,12920802.0
170,2022-01-16 12:00:00,76956.25650279566,56786.0,2022-01-16 12:00:00,sc_jong,6-1,N,12922617.0
171,2022-01-16 13:00:00,62417.71670771289,58082.0,2022-01-16 13:00:00,sc_jong,6-1,N,12924386.0
172,2022-01-16 14:00:00,44166.56837820945,33228.0,2022-01-16 14:00:00,sc_jong,6-1,N,12925384.0
173,2022-01-16 15:00:00,7383.137049215609,6053.0,2022-01-16 15:00:00,sc_jong,6-1,N,12925592.0
174,2022-01-16 16:00:00,3104.728058176608,3836.0,2022-01-16 16:00:00,sc_jong,6-1,N,12925710.0
175,2022-01-16 17:00:00,-655.8311491884435,453.0,2022-01-16 17:00:00,sc_jong,6-1,N,12925738.0
176,2022-01-17 07:00:00,-8.27448476532227,71.0,2022-01-17 07:00:00,sc_jong,6-1,N,12925741.0
177,2022-01-17 08:00:00,5089.817992238121,4583.0,2022-01-17 08:00:00,sc_jong,6-1,N,12925885.0
178,2022-01-17 09:00:00,12814.63648481623,14156.0,2022-01-17 09:00:00,sc_jong,6-1,N,12926355.0
179,2022-01-17 10:00:00,51425.65166391375,40132.0,2022-01-17 10:00:00,sc_jong,6-1,N,12927745.0
180,2022-01-17 11:00:00,110150.33459880452,77823.0,2022-01-17 11:00:00,sc_jong,6-1,N,12929729.0
181,2022-01-17 12:00:00,110689.48922074414,61723.0,2022-01-17 12:00:00,sc_jong,6-1,N,12931705.0
182,2022-01-17 13:00:00,121225.87037428086,73668.0,2022-01-17 13:00:00,sc_jong,6-1,N,12933700.0
183,2022-01-17 14:00:00,65317.61846074213,37077.0,2022-01-17 14:00:00,sc_jong,6-1,N,12934609.0
184,2022-01-17 15:00:00,22932.139846029542,7645.0,2022-01-17 15:00:00,sc_jong,6-1,N,12934865.0
185,2022-01-17 16:00:00,-5966.841216151918,2524.0,2022-01-17 16:00:00,sc_jong,6-1,N,12935001.0
186,2022-01-17 17:00:00,-2282.901535406718,275.0,2022-01-17 17:00:00,sc_jong,6-1,N,12935026.0
187,2022-01-18 07:00:00,-291.11336764726946,335.0,2022-01-18 07:00:00,sc_jong,6-1,N,12935040.0
188,2022-01-18 08:00:00,5420.819907086,4417.0,2022-01-18 08:00:00,sc_jong,6-1,N,12935174.0
189,2022-01-18 09:00:00,23957.979105821083,27071.0,2022-01-18 09:00:00,sc_jong,6-1,N,12935662.0
190,2022-01-18 10:00:00,75430.80998596214,88651.0,2022-01-18 10:00:00,sc_jong,6-1,N,12937021.0
191,2022-01-18 11:00:00,106924.9210635486,127875.0,2022-01-18 11:00:00,sc_jong,6-1,N,12938962.0
